repo,reponame,commit_hash
ChiyuSONG/dynamics-of-instruction-tuning,dynamics-of-instruction-tuning,2ef836b34e8ea3ebe82930a9931edcbdb3dff841
zihuixue/AlignEgoExo,AlignEgoExo,e73d055461d3b78fbc89843eb2ae52ad28ee94a3
lxmusics/lx-music-api-server-python,lx-music-api-server-python,031834d40fd20941630635409c426e6a77460019
T0kyoB0y/PotatoWidgets,PotatoWidgets,5af1f29294c688fcdd6634827bb73dcf6f6cadf3
aws-samples/amazon-location-geospatial-agent,amazon-location-geospatial-agent,95e5fd80a90fcb5615b06ff009285f56c891b163
AI2lab/comfyUI-tool-2lab,comfyUI-tool-2lab,61cb544c4b695a99ffbee16870e109970bbd3e56
janmartchouk/vidgen,vidgen,40ad5a8beeb14707c2cc385331b0819013901e14
jdelahayes/ha-voltalis,ha-voltalis,d4ab28bb7d246b8e1ebdceb6f651aea1540a6ab1
ajee10x/ProjectArbor,ProjectArbor,444601882814db3ad8850ddfadb55a4a22c22743
Algomancer/The-Daily-Train,The-Daily-Train,1684ca988498551a2401d3ddfb05197ec3cdab9b
LLM-Evaluation-s-Always-Fatiguing/leaf-playground,leaf-playground,ca3879c08d025791df89de69bbe5028e5ef884c7
sanmusen214/BAAH,BAAH,06b3b0bea3c2bf4eb29fe5fd0cb916e8b7edab82
metatube-community/metatube-plex-plugins,metatube-plex-plugins,98e8af51557a112625174c11da2eda901f476ac4
karthicksivakumarp/gui_read_csv,gui_read_csv,4ee666097e1ff4b4110f790f7efcb41bf6341116
TonicAI/tvalmetrics,tvalmetrics,940919dbde783960420c59d6c2a39f3e477c5aea
JakubPluta/gymhero,gymhero,1e57ec1c325199133d81ffb2dd840aa600903ef0
molML/traversing_chem_space,traversing_chem_space,36a1ed85ddf607e3a0e080adb6097add61c8c235
claws-lab/XLingEval,XLingEval,5fa76672d2124a7ae175b020b289f049c191eecb
5monkeys/bankid-sdk,bankid-sdk,bc799eb389f60ed6f2de143dc9acba233f60530f
KaichengGroup/FUSE-Flow,FUSE-Flow,0f6f49986aeb4c3db928087dd506363c77b5dcf5
Q-MM/PureMM,PureMM,fc6d880e80b0c80453d887fc4967bbb0973df470
simon-donike/Remote-Sensing-SRGAN,Remote-Sensing-SRGAN,9997d618dc3c81248dd3328af006c2ae3a6a7a3b
francescofugazzi/3dgsconverter,3dgsconverter,37dc41e969db2c041d3a815ab0692552a80d236d
jusiro/CLAP,CLAP,38eec2eecb3aa7987df4dc9df82f1f6187739dce
mlpc-ucsd/MaskCLIP,MaskCLIP,43049d1d8465b2bfc3785df5d920d87df6e09579
oXIIIo/marzban-api-client,marzban-api-client,59da0aff2ad7f871eb7183beae39cc7859235fc4
edong6768/Malet,Malet,d02715dd55f338e3631dcbc14dc91ad33c4a1a9e
Prismadic/magnet,magnet,ef922dbd92411855fce8ab811a7862263f79e949
fishaudio/fish-speech,fish-speech,b1676422d99c141dbfdab7b00d811acddd45021d
v3ucn/Bert-vits2-V2.2,Bert-vits2-V2.2,ebaab3ebbf9c9a9aafde082d4170b7673e22b21e
runDMCA/home-assistant-mazda,home-assistant-mazda,a9fd47f59825070118c4dda59a0e707ad0c0e707
uygarkurt/video-retalking,video-retalking,51d1e25f3c761e3ef65c754b11865c2d4f2c34db
youngskkim/CRN,CRN,5e9d2fa2f91c714b297e75ca666d27fc4ad0d13d
fw-ai/fireworks_poe_bot,fireworks_poe_bot,99a047f0010fb699d9a8e36c186e1708fc632859
gallonyin/QAGenerator,QAGenerator,efb7b359f933b66e47becc7b807440f587dcac2d
